desciption1,desciption2
ชมพู่มะเหมี่ยว ชื่อวิทยาศาสตร์: Syzygium malaccense เป็นไม้ยืนต้นในวงศ์ Myrtaceae ลำต้นตรง ใบเดี่ยว ออกตรงข้าม ใบหนาและเหนียว เมื่ออ่อนเป็นสีแดง ก้านใบยาว ดอกดอกเฉพาะกิ่งที่ไม่มีใบ ดอกสีแดง กลีบเลี้ยงเป็นหลอดบวมพอง เกสรตัวผู้สีแดงจำนวนมาก ผลสดมีเนื้อหลายเมล็ด ผลคล้ายลูกแพร์ มีกลีบเลี้ยงติดที่ปลายผล ผลสีแดงเข้มหรือเหลืองอมม่วงหรือขาวอมเหลือง เนื้อฉ่ำน้ำ สีขาว มีกลิ่นหอม เมล็ดกลม สีน้ำตาล สำหรับประเทศไทยมักจะออกลูกในช่วงเดือนมกราคมถึงเมษายน เท่านั้นไม่ได้ออกลูกทั้งฤดู,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ชำมะเลียง (อังกฤษ: Luna nut; ชื่อวิทยาศาสตร์: Lepisanthes fruticosa) หรือ พุมเรียง ภาคเหนือเรียกผักเต้า มะเถ้า ภาคตะวันออกเฉียงเหนือเรียกมะเกียง หวดข้าใหญ่ จังหวัดตราดเรียกโคมเรียง เป็นไม้ยืนต้นที่พบได้ทั่วประเทศไทยและเป็นพืชท้องถิ่นในเอเชียตะวันออกเฉียงใต้ ใบประกอบแบบขนนก ใบย่อยเรียวยาว มีสีเขียวตลอดทั้งปี ดอกออกเป็นช่อที่กิ่งและต้น ดอกสีม่วง ติดผลช่วงกุมภาพันธ์ถึงเมษายน ผลกลมออกเป็นช่อ เมื่ออ่อนสีม่วง รสฝาด พอแก่เปลี่ยนเป็นสีดำ รสหวานอ่อน ๆ,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ตะลิงปลิง เป็นไม้ผลในวงศ์ Oxalidaceae เป็นพืชเขตร้อน มีถิ่นกำเนิดอยู่ในแถบชายฝั่งทะเลของบราซิล ในประเทศไทยเชื่อว่านำเข้ามาจากอินโดนีเซีย เป็นไม้ยืนต้น สูงได้ถึง 15 เมตร ออกผลตามกิ่งก้านและลำต้นเป็นพวงแน่นและสวยงาม จึงเป็นที่นิยมปลูกทั่วไป นอกจากนี้ผลยังสามารถใช้บริโภค ตะลิงปลิงเป็นพืชร่วมวงศ์กับมะเฟือง มีส่วนที่แตกต่างกันอย่างชัดเจนคือ ผลมะเฟืองมีขนาดใหญ่กว่าผลตะลิงปลิง,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ชื่อพันธุ์ : ก้านยาวชื่อวิทยาศาสตร์   :   Durio  zibthinus  Murrayสถานภาพพันธุ์    :  พันธุ์เศรษฐกิจ และเป็นพันธุ์หนักลักษณะประจำพันธุ์   เป็นทุเรียนเรือนต้นไม่ดี ทิ้งกิ่ง ลำต้นจะสูงชะลูดทิ้งกิ่ง  เปลือกสีน้ำตาลและมีสะเก็ดบ้างเล็กน้อย  ช่วงกิ่งยาวมากและเกือบตั้งฉากกับลำต้น  แผ่นใบเป็นรูปรีจนถึงเรียวยาวมีขนาดกว้างประมาณ 6-8 เซนติเมตร  ยาวประมาณ 17-18 เซนติเมตร  ฐานใบเป็นรูปเหลี่ยมป้าน   ปลายใบแหลมและงอโค้งก้านใบยาวประมาณ  2 เซนติเมตร  ออกเป็นรูปไข่ยาวรี   ปลายแหลมและโคนดอกจะเรียวก้านดอกจะยาวมาก    จะมี 6 พูหนามมีขนาดโตเกือบเสมอกัน    พันธุ์นี้ก้านยาวกว่าพันธุ์อื่นเปลือกค่อนข้างหนา    เนื้อมีลักษณะละเอียด   นิ่ม  สีเหลือง รสชาติหวานมันกลมกล่อม เมล็ดกลม ,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ชื่อพันธุ์ : ชะนี ชื่อวิทยาศาสตร์  :  Durio  zibthinus  Murray สถานภาพพันธุ์  :   พันธุ์พื้นเมือง(พันธุ์เบา)  ลักษณะประจำพันธุ์ พันธุ์ชะนี เป็นพันธุ์หนึ่งในตระกูลลวง  ทรงพุ่มโปร่งค่อนข้างกว้างและไม่สูงนัก  ลำต้นมักไม่ตั้งฉากกับพื้นดิน  การแตกของกิ่งไม่ค่อยเป็นระเบียบ  บางต้นโคนเดียวอาจจะมีสองลำต้น  ใบมีลักษณะเป็นรูปไข่ค่อนข้างยาวและมีขนาดใหญ่  ส่วนกว้างประมาณ  6.5  เซนติเมตร  ยาวประมาณ  16  เซนติเมตร,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ฝรั่งสีชมพู หรือ ฝรั่งขี้นก ฝรั่งผลเล็กเหล่านี้ มีสารอาหารมากมายที่ให้ประโยชน์ต่อ สุขภาพ มีวิตามิน A ที่ช่วยบำรุงร่างกายในเรื่องการมองเห็น การเจริญเติบโตของกระดูก การสร้างเซลล์และควบคุมอุณหภูมิคุ้มกันของร่างกาย ยังมีวิตามิน C ที่มีมากกว่าส้มถึง 5 เท่าในปริมาณที่เท่ากันวิตามิน C มีคุณสมบัติเป็นสารต้านอนุมูลอิสระ ชะลอและป้องกันการเสื่อมของเซลล์ ที่มักเกิดจากความเครียด การดื่ม แอลกอฮอล์ ฝุ่น และควันบุหรี่ และแสงแดด,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
มะขามป้อมไทย มะขามป้อมชนิดนี้ เกิดจากเกษตรกรชื่อ จุ้น คงมันธี ได้เก็บเอาผลผลิตเมล็ดของ มะขามป้อมพันธุ์ไทยแท้ๆ ที่ขึ้นอยู่ตามป่าบนเขาเขตพื้นที่ จ.กาญจนบุรี ซึ่งปกติแล้วผลของมะขามป้อมพันธุ์ไทยทั่วไปโตเต็มที่ขนาดประมาณปลายนิ้วหัวแม่มือผู้ใหญ่เท่านั้น เกษตรกรดังกล่าวได้คัดเอาผลที่มีขนาดใหญ่ที่สุดเกือบ 100 ผลไปเพาะเป็นต้นกล้าแล้วแยกปลูกเลี้ยงจนต้นโตมีดอกและติดผล ปรากฏว่ามีหลายจุดแตกต่างจากพันธุ์แม่คือ ต้นจะเตี้ย 1-2 เมตร ,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
มะกอกป่า หรือ นิยมเรียกว่า มะกอก (Hog plum) ถือเป็นผลไม้ป่าที่นิยมอย่างมากสำหรับเมนูที่ต้องการรสเปรี้ยว โดยเฉพาะส้มตำ ต้มยำ ยำหรือก้อยต่างๆ เพราะให้รสเปรี้ยวพอเหมาะ อีกทั้งมีรสหวาน กระตุ้นน้ำลาย และการยากอาหารได้อย่างดี,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
"สาเก หรือขนุนสำปะลอ (ชื่อวิทยาศาสตร์: Artocarpus altilis; อังกฤษ: breadfruit, มลยาฬัม: kada-chakkai, ฮาวาย: อุลุ, อินโดนีเซีย: สุกุน ตากาลอก: โคโล) เป็นไม้ผลพื้นเมืองของหมู่เกาะในมหาสมุทรอินเดียตะวันออก และมหาสมุทรแปซิฟิกตะวันตก ต่อมาจึงแพร่หลายไปยังหมู่เกาะอินดีสตะวันตก และปลูกแพร่หลายทั่วไปในภูมิภาคเขตร้อน",เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
"หว้า (ชื่อวิทยาศาสตร์: Syzygium cumini) เป็นไม้ประเภทไม้ยืนต้น มีถิ่นกำเนิดจากอินเดียจนถึงเอเชียตะวันออกเฉียงใต้ ในไทยพบทั่วไปตามป่าดิบชื้นและป่าผลัดใบ ตั้งแต่ระดับใกล้น้ำทะเลจนถึงระดับความสูง 1,100 เมตร เป็นพันธุ์ไม้มงคลพระราชทานประจำเพชรบุรี",เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ปาล์มไผ่ มีชื่อวิทยาศาสตร์ว่า Chamaedorea seifrizii เป็นไม้ประดับที่จั ดอยู่ในวงศ์ PALMAE ต้นกำเนิดอยู่ทีประเทศเม็กซิโกและอเมริกาใต้ ลำต้นจะมีลักษณะคล้ายปาล์มใบไผ่ (Bamboo Palm) แต่จะมีขนาดใหญ่กว่านิดหน่อย ลำต้นมีสีเขียวขนาดเล็กเป็นข้อปล้องเห็นได้ชัด ดูคล้ายต้นไผ่ แต่จะสูงเพียง 1.5-2 เมตร ใบเป็นใบเดี่ยว เรียวแหลม สีเขียวมัน ออกตรงข้ามกันเป็นคู่ๆ แผ่ออกดูอ่อนช้อย มีความสามารถในการดูดซับสารพิษจากอากาศเหมือนกันกับปาล์มใบไผ่ แต่จะดูดได้น้อยกว่า แต่ถึงอย่างไรก็จัดเป็นไม้ประดับที่มีความสวยงาม และได้รับความนิยมนำมาปลูกประดับภายในบ้านเรือนหรืออาคารสำนักงานต่างๆไม่แพ้กัน,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
วาสนาราชินีเป็นพรรณไม้ยืนต้นขนาดกลาง ลำต้นมีความสูงประมาณ 4-10 เมตร ลำต้นกลม ต้นตรง ไม่มีกิ่งก้าน ลำต้นเป็นข้อถี่ ผิวเปลือกลำต้นมีสีน้ำตาลใบเป็นใบเดี่ยวแตกออกจากลำต้นส่วนยอดเรียงซ้อนกันเวียนรอบลำต้นเป็นรูปวงกลมลักษณะใบเรียวยาว ปลายใบแหลม ขอบใบเรียบ ผิวใบเกลี้ยงเป็นมันสีเขียว ตัวใบโค้งงอ ขนาดใบกว้างประมาณ 3-6 เซนติเมตร ยาวประมาณ 20-40 เซนติเมตรออกดอกเป็นช่อตรงส่วนยอดของลำต้นช่อดอกมีขนาดใหญ่เป็นรูปทรงกลมช่อดอกยาวดอกมีขนาดเล็กอยู่รวมกันเป็นกลุ่มดอกมีสีขาวหรือเหลืองอ่อน กลิ่นหอมฉุน,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
สาวน้อยประแป้ง (Dumb cane) จัดเป็นไม้ประดับต้น และใบที่นิยมปลูกในกระถางสำหรับประดับในอาคาร และนอกอาคาร เนื่องจาก แผ่นใบมีขนาดใหญ่ พื้นใบมีสีเขียว และประเป็นลายด่างด้วยสีขาวจนดูแปลกตา และสวยงาม แต่ทั้งนี้ สาวน้อยประแป้ง ถือเป็นไม้ประดับที่ทุกส่วนมีสารพิษที่อาจทำให้ถึงตายได้ หากรับประทานเข้าไป,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ต้นกวักมรกต มีลำต้นเป็นหัวอยู่ใต้ดิน ลำต้นแตกกอง่ายและมีขนาดใหญ่ขึ้นเรื่อยๆ มีใบที่มันเงางามและสีเขียวดูสดชื่น แท่งใบเหนือดิน ก้านใบอวบน้ำ มีใบแบบแยกเดี่ยว ใบย่อยผิวเป็นมัน ดอกออกเป็นแท่งช่อดอกคล้ายดอกเดหลี,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
ใบเดี่ยว ขนาดเล็กยาว ดอกออกเป็นช่อ ดอกย่อยสีชมพู เกสรตัวผู้สีส้ม เป็นยาสมุนไพรใช้แก้แมลงสัตว์กัดต่อย ในทางไสยศาสตร์ เชื่อว่ามีฤทธิ์ทางเมตตามหานิยมและคงกระพันชาตรี,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
เข็มริมแดง เป็นไม้ประดับที่มีรูปทรงแปลกตา มีใบแหลมเป็นพุ่มแตกออกจากตอหรือลำต้นที่ตั้งตรง และเป็นไม้ประดับที่เด่นด้วยสีสันของใบ ที่มีทั้งเขียว เหลือง แดงอยู่ในใบเดียวกัน แต่ขอบใบจะเป็นสีแดงซึ่งทำให้เป็นที่มาของชื่อ เป็นพืชที่มีความทนทานมาก ปลูกได้ดีแม้ในที่ที่มีแสงน้อย จึงเหมาะสำหรับนำมาปลูกเป็นไม้ประดับภายในอาคารเป็นอย่างยิ่ง,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
หนวดปลาหมึกจัดเป็นไม้พุ่มประดับที่สูงเต็มที่ไม่เกิน 2-3 เมตร เจริญเติบโตเร็วมาก ใบมีสีเขียวเป็นมัน หนวดปลาหมึก มีหลายชนิด มีทั้งใบเล็ก ใบใหญ่ แต่จะมีลักษณะเหมือนกันคือใบจะแตกออกมาจากกิ่งเดียว โดยแต่ละกิ่งจะมีใบประมาณ 7-15 ใบ และกางออกคล้ายกับนิ้วของคน,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
แววมยุรา เป็นพืชไม้ดอกล้มลุก สูงประมาณ 15-50 เซนติเมตร จะมีสีดอกหลายสี ทั้งสีแดง สีชมพู สีม่วงเข้ม สีม่วงอ่อน โคนกลีบจะมีสีขาว กลีบล่างอาจมีแต้มสีเหลือง จะออกเป็นช่อ กระจายตามซอกใบที่ปลายกิ่ง ปลายแยกเป็น 5 แฉก จะมีขนาดไม่เท่ากัน,เพื่อให้ต้นไม้มีการเจริญเติบโตได้อย่างดี อยู่กับคุณไปนานๆ คุณก็ควรดูแลต้นไม้ให้ถูกวิธี โดยการเลือกดินให้เหมาะสมกับชนิดพืช ใส่กรวดลงไปในดินบ้างเพื่อให้ช่วยยึดพืช พร้อมเพิ่มช่องว่างให้อากาศและน้ำถ่ายเทได้อย่างสะดวก ไม่ขังอยู่ในกระถางจนรากเน่าตาย และควรรดน้ำกับความต้องการของต้นไม้ และนำไปตากแดดบ้าง เพื่อให้พืชได้รับแสงอาทิตย์ไว้คอยสังเคราะห์แสง แต่ถึงกระนั้นก็ไม่ควรตั้งกระถางต้นไม้ในที่ร้อนจัดหรือโดนแดดแรงจัดๆอย่างตรงๆมากเกินไป ส่วนพื้นที่มีลมแรงมาก ๆ ก็ไม่เหมาะ เนื่องจากอาจจะทำให้ลำต้นเอียงได้
